,landing_page_id,origin,sdr_id,sr_id,business_segment,lead_type,lead_behaviour_profile,business_type,seller_state,sdr_load,sr_load
275,26,organic_search,mid,mid,home,online_big,cat,reseller,SP,20.0,9.0
276,13,direct_traffic,mid,mid,hobby,online_medium,cat,reseller,RS,12.0,5.0
277,100,paid_search,mid,mid,home,online_big,cat,reseller,SP,10.0,3.0
278,62,organic_search,mid,mid,home,online_medium,cat,manufacturer,SP,5.0,6.0
279,62,organic_search,mid,mid,hobby,online_big,eagle,reseller,SP,10.0,3.0
280,62,organic_search,mid,mid,miscellaneous,online_medium,cat,reseller,MG,20.0,7.0
281,13,direct_traffic,mid,mid,home,online_medium,cat,reseller,SP,11.0,9.0
282,100,paid_search,low,mid,automobiles,online_big,eagle,reseller,SC,14.0,20.0
283,26,paid_search,low,mid,home,online_medium,cat,reseller,SP,6.0,7.0
284,13,paid_search,low,mid,food,online_top,eagle,manufacturer,SP,6.0,7.0
285,100,direct_traffic,low,mid,electronics,offline,wolf,reseller,SP,11.0,10.0
286,13,organic_search,low,mid,hobby,online_small,cat,reseller,PR,4.0,4.0
287,13,paid_search,high,low,home,online_medium,wolf,manufacturer,MG,17.0,6.0
288,56,unknown,high,low,home,online_medium,cat,reseller,SP,9.0,3.0
289,100,paid_search,high,low,home,online_medium,cat,manufacturer,RS,23.0,9.0
290,100,paid_search,high,low,hobby,online_medium,cat,reseller,SP,11.0,5.0
291,13,organic_search,high,low,home,online_top,cat,reseller,SP,11.0,5.0
292,13,unknown,high,low,home,online_medium,cat,reseller,SP,10.0,3.0
293,31,social,high,low,automobiles,online_medium,cat,reseller,SP,15.0,7.0
294,100,paid_search,mid,low,health,online_medium,cat,reseller,SP,14.0,1.0
295,56,unknown,mid,low,electronics,online_medium,cat,manufacturer,SP,11.0,3.0
296,56,paid_search,mid,low,automobiles,online_medium,cat,manufacturer,MG,10.0,2.0
297,26,paid_search,mid,low,automobiles,online_big,cat,reseller,SP,8.0,6.0
298,100,paid_search,mid,low,home,online_medium,wolf,reseller,SP,5.0,1.0
299,100,unknown,mid,low,health,online_medium,shark,reseller,SP,13.0,10.0
300,13,organic_search,low,low,automobiles,offline,cat,reseller,RJ,3.0,3.0
301,100,organic_search,low,low,electronics,offline,cat,two_eight_seven,RJ,6.0,4.0
302,56,organic_search,low,low,home,online_beginner,cat,reseller,SC,3.0,2.0
303,56,unknown,low,low,home,industry,cat,reseller,SC,3.0,3.0
304,100,direct_traffic,low,low,hobby,online_medium,shark,reseller,SC,8.0,17.0
305,13,direct_traffic,high,low,miscellaneous,industry,wolf,reseller,SP,21.0,10.0
306,26,paid_search,high,low,miscellaneous,online_medium,eagle,reseller,MG,17.0,7.0
307,13,organic_search,high,low,electronics,online_big,cat,reseller,GO,15.0,6.0
308,100,rest,high,low,electronics,offline,cat,reseller,SP,16.0,3.0
309,56,unknown,high,low,home,online_medium,wolf,reseller,SP,17.0,7.0
310,100,organic_search,high,low,home,industry,wolf,manufacturer,SP,47.0,14.0
311,62,organic_search,high,low,electronics,online_beginner,cat,reseller,PR,8.0,6.0
312,100,direct_traffic,mid,low,home,online_small,cat,manufacturer,GO,8.0,4.0
313,100,rest,mid,low,electronics,online_medium,cat,two_eight_seven,SP,14.0,4.0
314,13,organic_search,mid,low,home,online_medium,eagle,manufacturer,SP,11.0,5.0
315,13,organic_search,mid,low,electronics,one_seven_two,cat,reseller,SP,14.0,4.0
316,62,direct_traffic,mid,low,food,online_medium,cat,reseller,SC,20.0,13.0
317,100,paid_search,mid,low,pet,industry,eagle,reseller,SP,9.0,6.0
318,62,organic_search,mid,low,home,online_big,cat,reseller,SP,15.0,10.0
319,26,paid_search,low,low,home,online_medium,cat,manufacturer,RJ,0.0,7.0
320,56,unknown,high,low,home,online_small,wolf,reseller,SC,22.0,3.0
321,56,unknown,high,low,home,online_medium,cat,reseller,SP,41.0,8.0
322,13,organic_search,high,low,home,online_beginner,cat,reseller,SP,35.0,8.0
323,56,unknown,high,low,electronics,online_medium,cat,reseller,SP,8.0,5.0
324,56,unknown,high,low,hobby,online_medium,cat,reseller,SC,8.0,3.0
325,100,paid_search,high,low,health,online_small,cat,reseller,DF,39.0,11.0
326,13,organic_search,mid,low,pet,online_medium,cat,reseller,SP,12.0,3.0
327,100,organic_search,mid,low,electronics,online_medium,cat,manufacturer,SC,13.0,5.0
328,13,paid_search,mid,low,health,online_medium,shark,reseller,SP,8.0,4.0
329,100,rest,mid,low,food,online_medium,cat,manufacturer,SP,7.0,2.0
330,13,organic_search,low,low,health,online_medium,cat,reseller,SP,7.0,1.0
331,46,social,low,low,miscellaneous,industry,cat,reseller,RS,8.0,3.0
332,56,unknown,low,low,electronics,online_beginner,cat,reseller,SP,6.0,1.0
333,26,paid_search,low,low,food,industry,cat,manufacturer,ES,1.0,1.0
334,100,paid_search,high,low,home,industry,cat,manufacturer,SC,23.0,12.0
335,56,paid_search,mid,low,miscellaneous,industry,cat,manufacturer,SP,21.0,12.0
336,13,organic_search,mid,low,electronics,online_medium,cat,reseller,RS,30.0,12.0
337,100,paid_search,mid,low,health,online_big,wolf,reseller,PR,29.0,7.0
338,13,organic_search,mid,low,food,online_small,cat,reseller,PR,30.0,12.0
339,100,social,mid,low,health,online_medium,cat,reseller,SP,20.0,12.0
340,100,social,mid,low,home,online_medium,eagle,manufacturer,SP,8.0,11.0
341,13,organic_search,mid,low,miscellaneous,online_medium,eagle,reseller,SP,6.0,9.0
